"The Anome"	", 10474, 10962, 11736, 11887, 12461, 14229, 14539, 14875, 15052, 16163, 16579, 16861, 17079, 18457137, 18932641, 18949819, 19315564, 19548, 20948, 21486711, 21486951, 21544, 21555729, 2196, 22747, 23585, 25540, 25750, 26743, 27697009, 28698, 30564, 30854, 31401, 32149, 32237, 32978, 34610, 37310, 39117, 39118, 39138, 39209, 39219, 39241, 39311, 39324, 39326, 39329, 39414, 39416, 39426, 39430, 39445, 39872, 40547, 41733, 41957, 42031, 42037, 42041, 42042, 42043, 42051, 42053, 42146, 42716, 42739, 42877, 42886, 42888, 42889, 42890, 42891, 43529, 4561, 52977, 60431, 7398, 7463, 8145410, 8221, 8339, 9028, 9510, 9763"
"The Cunctator"	", 10166, 11152, 11902, 13425800, 13920, 18375894, 18868308, 19548, 19666611, 21083973, 22569, 24920347, 2522057, 27566, 27609, 2784, 28027, 28028, 28045, 28061, 29564, 32942, 33841, 34069, 36575, 36591, 38156, 38359, 38678, 38779, 38783, 38797, 38798, 38828, 38950, 38957, 38975, 38976, 38983, 38988, 38989, 39577, 39581, 39632, 39634, 39635, 39637, 39642, 39643, 39644, 39645, 39646, 39685, 39686, 39693, 39721, 40015, 40048, 40362569, 40420, 40477, 40591, 40592, 42098, 42105, 42298, 42338, 42366, 42391, 42397, 42442, 42532, 42739, 42742, 44103, 49369, 54864, 5937384, 6658, 67879, 6792932, 737, 7463, 7653"
"Derek Ross"	", 10408, 12466, 15905, 15925, 16179, 1628, 16580, 16824902, 18196, 18879, 19603, 2070, 21222213, 22568, 25676, 25682, 26994, 26995, 28135, 30980, 32616, 34764, 34898, 35189, 35190, 35266, 36040, 36477, 36499, 36511, 36513, 36602, 36765, 36771, 36778, 36779, 36787, 36834, 36836, 36893, 36898, 36899, 37153, 37802, 38873, 4037, 40592871, 49578, 5049, 6021, 7575129, 9028"
"Disco~enwiki"	", 38539, 38817, 4391"
"Dizzley"	", 28698"
"Dragon Dave"	", 18934325, 19763032, 21299730, 24147, 27567, 28266, 29123, 3107, 36958, 36961, 37180, 37182, 37887, 38678, 39216, 42964, 50650, 5826, 7940, 9845"
"Dreamyshade"	", 1012, 10204, 10233, 10326, 11164, 12435, 12653094, 13592, 13839, 13989, 16824902, 18959902, 19831, 20781951, 21391464, 21470, 21872126, 21883824, 2219, 23053, 23337, 23871, 2421391, 24935, 25525, 27931, 28544, 30058, 3043, 32978, 3343, 33841, 33842, 34575, 34624, 34630, 34980, 3549, 36477, 36498, 36525, 36665, 37097, 37340, 38071, 39180, 40231, 47523479, 4820, 5030553, 5042951, 51214, 5326, 5360, 5489, 5772, 59046, 5935, 6650, 69003, 7516, 9253, 9769"
"Drj"	", 36952, 36954, 37466, 40284, 58046, 8286923"
"Dze27"	", 12401, 16496, 19631, 19654433, 25422, 25778403, 29564, 30282, 36878, 38570, 38678, 38862, 39155, 40015, 40017"
"Eclecticology"	", 10632688, 10632769, 10632876, 10632881, 11953, 13092, 13554, 1417, 14729, 15055, 15570, 15850, 17867, 17876, 18327, 1845, 18878, 19435457, 19693, 2043, 20667, 21556371, 21556423, 23047, 23245556, 23425516, 23758960, 2480627, 26757, 26833, 2960, 30064, 324, 33841, 34411, 34519, 35698124, 38678, 39171, 39594, 39698, 39870, 40013, 4012, 40353, 40411, 40491, 41526, 42093, 42106, 42110, 42126, 42159, 42293, 42294, 42383, 42390, 42551, 42578, 42618, 5030553, 5224, 5517299, 61702, 6176, 67879, 7301, 7642, 803, 808, 9253"
"Ed Poor"	", 10183, 10531, 10671, 11185, 12403, 13070, 13109, 14233, 14234, 15030, 15499, 16775, 20948, 21350772, 21431016, 28406, 28845, 29252, 29798, 30475, 31898, 33584, 36494, 36503, 37038, 37085, 37097, 37103, 37104, 37106, 37270, 37638, 37645, 37649, 37650, 37652, 37653, 37654, 37658, 37876, 37879, 37992, 37993, 38304, 42321, 42324, 42325, 42327, 42328, 42329, 42348, 5042951, 5929714, 7653, 7654, 8539050, 8757, 9236"
"Edgar~enwiki"	", 10276, 11359, 26413, 32942, 37813"
"Edolin"	", 38310, 38869, 40489, 4487, 47863693"
"EdwardOConnor"	", 26296173, 39781455"
"Eean"	", 36659"
"Eijkhout"	", 26242, 39147, 3916"
"Eloquence"	", 5030553, 5902"
"Eob"	", 12862, 14675, 18835, 26826, 3378, 35951, 36031, 36073, 38542, 38689, 38851, 38956, 38959, 38962, 38991, 5390, 7822, 9228"
"Espen andersen"	", 11820"
"Espen"	", 10979, 11467, 15825, 18273, 19450529, 19654433, 19766, 2480627, 31045316, 32442, 32978, 36597, 36623, 36679, 37075, 37229, 37304, 37397201, 37413, 37428, 38376, 38546, 39452, 4091, 42691, 5224, 59046, 808"
"Federico~enwiki"	", 18839"
"Ffaker"	", 11902, 14117, 16329, 23005, 25074, 25143203, 29035, 30770, 33842, 39762422, 5030, 5921878, 740"
"Firepink"	", 12460, 18994363, 21830, 23880, 26534334, 27900, 27906, 36681, 36743, 36744, 36745, 37194, 37199, 37283, 37397201, 37738, 37751, 4215"
"Flemmingmo"	", 39739"
"Fredbauder"	", 23664, 3778, 42431, 42901, 43005, 5399, 63876"
"Ganapataye"	", 38880, 38883"
"Gareth Owen"	", 36525"
"GayCommunist"	", 10635, 18618607, 37131, 49047"
"Georgie16"	", 40335"
"GillianAnderson"	", 20781951, 6596"
"Girlich"	", 15526, 25215, 25216, 25266, 25394701, 27566, 32390, 36867, 36951, 8521, 9906294"
"Gorm"	", 13694, 21241, 37502"
"Graham Chapman"	", 11953, 151615, 15767, 15980, 17006, 17390, 18950703, 18976, 20187, 20613, 21504, 23410163, 23443846, 24669, 25478078, 28695, 30942, 31130, 32506019, 33841, 36912, 37097, 37196, 37448891, 3767, 38371, 38512, 38615, 38833, 38835, 38931, 39378, 39394, 39406, 39605, 39690, 39834, 40351, 40356, 40416, 40424, 40429, 40754, 41927, 42395, 7310, 7398, 7399, 8745, 983, 984"
"Granicz"	", 38225"
"Great throwdini"	", 13086761, 14355, 156045, 169652, 19730, 20993, 21489, 24191364, 26524, 28606, 36952, 38442"
"Grouse"	", 19374, 1998, 2244, 23618017, 37130, 37138, 37139, 4580"
"Guppie"	", 36982, 53140"
"Gustavo Wombat"	", 37862"
"HelgeStenstrom"	", 36602"
"Holger~enwiki"	", 37057"
"Huajie"	", 41984, 5405"
"IanLewis~enwiki"	", 12590, 39346, 52977"
"Iandog"	", 33841"
"Ignaciovicario"	", 2457"
"Isomorph"	", 31395"
"Iwnbap"	", 18951655, 21523, 37202, 37397201, 40117"
"JHK"	", 10484442, 1106536, 11401, 1273, 13467, 13772, 14162, 1421, 14234, 14431, 1486, 18514, 20144, 20597, 20598, 20804, 21431992, 21476233, 23730735, 23977553, 24169, 24297095, 2432, 24919577, 2552, 25605367, 26288, 26413, 27485376, 27485413, 27485485, 27485516, 27641563, 28399, 28409, 30801, 30853, 31120, 31130, 332758, 33841, 35179, 35901, 36494, 36628, 36778, 36779, 36783, 36883, 36895, 36902, 36910, 37015, 37045, 37046, 37086, 37407, 37410, 3765, 37813, 37857, 38042, 38177, 38211, 38382, 38460, 38570, 38738, 38739, 38740, 38746, 38815, 38823, 38830, 38935, 38999, 39064, 39070, 39080, 39118, 39188, 39235, 39594, 39698, 39791581, 39824, 39880, 39884, 39890129, 40347, 40408, 40437, 40539, 40576, 40578, 40592933, 40599, 40869295, 42067, 42214, 42233, 42234, 42240, 42278, 42302, 42327, 42329, 42616, 42631, 43295516, 46357, 47253, 49578, 49613, 6969, 7362, 7653, 7661, 7665, 841, 8836659, 8941"
"JamieNettles"	", 41958, 41959"
"Jan Hidders"	", 18825270, 36602, 36837, 37333, 39093, 5058690, 51440"
"Jazzoctopus"	", 1170, 18313, 18314, 18522615, 20781951, 22388, 32978, 33870, 41522, 41524, 41527, 6920"
"JeLuF"	", 10018, 12099, 38412, 41902, 41982, 41985, 42029, 42127, 42226, 42236, 42357, 42412, 42440, 42607, 42737"
"Jeronimo"	", 10854, 16564, 16825404, 22477, 23661162, 25778403, 28028, 28544, 28779, 31769, 32917, 34691, 34982, 36602, 36847, 36857, 37120, 37146, 37575, 37585, 37600, 37602, 37603, 37607, 3762, 37746, 37751, 37753, 37765, 37960, 37962, 37963, 37964, 37966, 38109, 38264, 38678, 38748, 38862, 38871, 39634, 39635, 39637, 39645, 39646, 41136557, 42298, 42533, 42737, 42907, 585629, 8286923"
"Jhan344"	", 20375, 42059"
"Jkominek"	", 11026, 11616, 1329090, 13450, 16869, 17524, 18168, 18406, 18932365, 19467352, 2007, 21440, 21544, 21896483, 21921, 22402, 23368424, 23939, 26443, 26671, 27678, 28399, 28644, 28829, 30011, 30398, 31591, 32188, 3403776, 34147, 34920, 37316, 37404, 37815, 38117, 38118, 38563, 38782, 39389, 39725, 40104, 40355, 40356, 40367, 44469, 5399, 6217, 8536, 9663"
"JoachimFunke~enwiki"	", 34128, 36700"
"Joao"	", 18659840, 25936, 32942, 36471, 37103, 37182, 48422, 9228"
"Joel Schlosberg"	", 11986, 37844"
"Johanneswilm"	", 9209651"
"Josh Grosse"	", 3720"
"Joshstaiger"	", 40331"
"Jpsturm"	", 15905"
"Jrincayc"	", 29664, 39627"
"Jtnelson"	", 12991, 13058, 13260"
"Juanan~enwiki"	", 38116"
"Justfred"	", 25802750"
"Justrob"	", 26811621, 41544, 42160"
"JvaGoddess"	", 21448, 21575, 21576, 21578, 21579, 21580, 21758, 21761, 25498357, 8452, 8589"
"Jzcool"	", 36759"
"Karl E. V. Palmen"	", 16493, 20519, 31390, 37141, 42076, 42126, 42169, 42296, 42903, 5418, 8477, 8815, 9325"
"Kazik~enwiki"	", 40649"
"King of birds"	", 184334, 18994363, 22544, 34549, 36585, 36611, 37674, 37676, 37678, 37882, 42821, 6056"
"Kowloonese"	", 13564463, 1786, 39104, 5781, 5992"
"Koyaanis Qatsi"	", 17221, 17743639, 18932654, 18933383, 23649, 23698779, 24502490, 24623, 27790, 38542, 38575, 38718, 42409, 42410, 4531, 5921, 808, 8088, 9332"
"LA2"	", 1013, 10186, 10632879, 1091547, 11184, 13588, 13854, 13904, 14097, 14104, 14115, 15862, 16089, 16972981, 17221, 1814, 18452, 18933277, 19039354, 19283960, 19631, 20158, 21726, 21758, 21762, 21763, 21796, 22620, 2544633, 26367, 27033120, 27598309, 27598692, 27992, 28771, 28805, 29167, 31587, 32526, 33302, 34054833, 34605, 34648, 34655, 34662, 34705, 34775, 34850, 34861, 34869, 34876, 34916, 34937, 34948, 34983, 35179, 35180, 35182, 35186, 35211, 35216, 35217, 35309, 35548, 35608, 35633, 35637, 35691, 35738, 35783, 35808, 35828, 35876, 36036, 36130, 36131, 36244, 36287, 36291, 36660, 36686, 36689, 37702, 38382, 38383, 38554, 38555, 38569, 38572, 38581, 38585, 38600, 38608, 38613, 38617, 38624, 38631, 38644, 38645, 38646, 38658, 38662, 38674, 38681, 38686, 38696, 38697, 38719, 38729, 38731, 38746, 38961, 39467, 39473, 39476, 39477, 39478, 39507, 39508, 39511, 39517, 39518, 39530, 39535, 39569, 39582, 39766, 39879893, 39892, 39929, 39938, 39948, 39949, 39950, 39951, 39952, 39953, 39957, 39991, 40014, 40021, 40022, 40023, 40049, 40084, 40096, 40435, 40536512, 40869264, 42370, 42378, 42379, 42382, 42412, 42454, 42466, 42511, 42524, 42527, 42540, 42541, 42545, 42548, 42549, 42591, 42592, 42593, 42594, 42595, 42596, 42597, 42598, 42599, 42600, 42601, 42602, 42603, 42604, 42605, 42606, 42761, 42764, 42787, 43626, 4363966, 4689264, 47063, 49613, 5058739, 52608, 53678, 57744, 600, 690, 7146, 746, 8380114, 9317"
"LC~enwiki"	", 11953, 15491, 16824902, 16974, 17552, 18203, 18393, 18568, 19654433, 20110787, 205457, 21483, 23015, 23385892, 23666, 24390, 25005, 25220, 25350, 26193, 26443, 27812895, 31755, 3244084, 3380, 33841, 33842, 3401, 35205, 36500, 36501, 36777, 36811, 37035, 37391, 37393, 37856, 37954, 38494, 39351, 39378, 39461, 39563, 44578, 4715, 54681, 54685, 5926, 6115, 6352800, 7543, 8302, 928"
"Lane Wright"	", 11170, 24230, 39047, 39889916"
"Larry Sanger"	", 11201, 13224, 13769, 15426, 2043, 22085, 27084080, 27084113, 32942, 37097, 38359, 38867, 4153562, 9119240, 9159"
"Larry_Sanger"	", 11597, 14922, 17743639, 18910, 18916, 19593829, 19842620, 20955, 21481963, 21745, 25414, 25675557, 25976, 27855329, 28926, 3272, 32942, 32978, 33235, 33842, 36591, 37097, 37196, 37658, 38966, 39065, 39066, 39069, 39196, 39593, 39622, 39624, 39762, 39788, 39793, 39801, 39811, 39889, 40362569, 40615, 42158, 5025820, 51205, 5416, 5417, 5451374, 5772, 6352800, 9769"
"Leaty"	", 38537"
"Lee Daniel Crocker"	", 36506, 36895, 37097"
"Leonard~enwiki"	", 18932365, 41534"
"Luis Oliveira"	", 13972, 16824902, 18934325, 27565952, 32978, 33401, 36483, 36602, 5030553"
"MLPachali"	", 12804, 19443773, 39879, 39881, 40156, 40157, 42178, 42180, 42183, 42677"
"Magnus Manske"	", 13891, 15022384, 17743639, 1822, 18825270, 18938758, 19600280, 20781951, 21294842, 21443, 21698441, 21796, 23014, 23718, 23719, 31522, 31717, 32942, 3378, 3380, 33841, 34624, 36469, 36504, 36512, 36591, 36602, 36624, 36766, 37333, 38063, 38359, 38571, 38760, 38761, 38770, 39339, 40233, 40273, 40297, 40332, 40391, 40392, 40645, 42283, 42676, 42752, 42886, 42898, 5030553, 6346, 6652887, 8131, 9127632, 9707"
"Magnus~enwiki"	", 23878, 8166"
"Malcolm Farmer"	", 1010, 11009, 12025, 12737, 14274, 15651, 17740, 17747, 18196, 18727, 19283852, 20425, 2043, 23550, 23604, 23878, 24029, 24150, 24316, 25599, 25879, 29798, 32885, 3378, 3380, 33841, 34069, 35207, 36586, 36830, 36839, 368510, 36940, 36960, 36999, 37222, 37238, 37277, 3730, 37397201, 37870, 37947, 38001, 38293, 38393, 38571, 38799, 38853, 38874, 39102, 39149, 40400, 4106, 42029, 42898, 42899, 4361, 4561, 5030553, 50973, 53606, 53618, 5645, 5791492, 6429, 7025, 8246, 9325, 9657"
"Malia211"	", 15792, 34760"
"Manning Bartlett"	", 25169208"
"MarXidad"	", 13834"
"Marj Tiefert"	", 10106, 11156, 2828, 29408, 31248, 32509, 34705, 34948, 36489, 36901, 36910, 37342, 39691, 39697, 39856, 40245, 42261, 4493, 48836, 55032, 6896, 8826"
"Mark Christensen"	", 21264566, 23047, 23768, 25976, 30340, 37304, 39057, 39065, 39138"
"Mark Ryan"	", 1274, 17546, 28327, 36928, 36932, 38393, 38398, 4689264, 5030553"
"MarkAtwood"	", 12706, 21069, 23534170, 26787, 32252, 7574"
"MarkReid"	", 36591, 36935, 38749, 38834, 41136557, 9536"
"Mathijs~enwiki"	", 38104"
"Matthew Woodcraft"	", 1208, 1242, 14794, 14922, 16043, 18195, 18938782, 2043, 26296173, 30398, 31641, 36475, 39122, 39138, 4922, 841, 9028"
"Mav"	", 11059, 11525, 11579, 1206, 12395, 1273, 12787, 12937, 12967, 13048942, 13070, 13086761, 13255, 13707308, 1421, 14734, 15471, 16517, 16990482, 17029, 17561, 17996, 18313, 184334, 18457137, 18618416, 18677486, 18841893, 18842395, 18909, 18949328, 19191665, 19191789, 19406230, 19468046, 19594174, 19594213, 19600280, 19666611, 19763032, 2076, 20781951, 21019, 21221, 21476593, 21736, 22304, 22402, 22468, 2301, 23053, 23055, 23221, 23319, 23718, 23719, 23720, 24065, 24475, 2537522, 25458, 25507, 25545863, 25599, 25951, 26809, 26826, 26951, 27086, 27114, 27118, 28119, 28176, 28334, 28659, 28930, 28957716, 28962, 29252, 29631, 29816, 29932, 30543, 3230, 32388, 32669929, 32978, 33235, 3378, 3380, 33841, 34492, 36218, 36476, 36477, 36479, 36520, 36541, 36542, 36577, 36630, 36684, 36793, 36796, 36797, 36808, 36822, 36912, 36915, 36921, 36922, 36923, 36958, 37058, 37097, 37118, 37180, 37228, 37230, 37300, 37394, 37397201, 37400, 37449, 37472, 37526, 37535, 37537, 3755, 37620, 37702, 37741, 37887, 38390, 38395, 38799, 38928, 38964, 38982, 39079, 39087, 39102, 39118, 39165, 39265, 39289, 39291, 39298, 39299, 39300, 39307, 39361, 39401, 39418, 39420, 39425, 39451, 39482, 39588, 39592, 39595, 39671, 39679, 39691, 39697, 39704, 39715, 39728, 3993, 40114, 40116, 40124, 40125, 40131, 40134, 40142, 40143, 40351, 40356, 40368, 40370, 40379, 40402, 40420, 40444, 40449, 40451, 40452, 40454, 40455, 40456, 40474, 40475, 40476, 40477, 40478, 40507, 40508, 40509, 40510, 40511, 40512, 40513, 40514, 40515, 40516, 40517, 40518, 40519, 40520, 40521, 40522, 40525, 40526, 40527, 40528, 40529, 40551, 40608, 40618, 41515, 41532, 41545, 41546, 41910, 41939, 41953, 41955, 41956, 42001, 42002, 42010, 42015, 42018, 42080, 42143, 42156, 42159, 42242, 42652, 42664, 42665, 42666, 42667, 42668, 42677, 42821, 42859, 4579, 4651, 4699587, 47420, 5097395, 51205, 51320, 5407, 5667, 58590228, 5921878, 60759, 62332, 6352800, 6860726, 689728, 690, 791, 8429, 8524, 8718425, 904, 9075, 9804"
"Mcwee"	", 16215"
"Mediate"	", 40573"
"Michacy"	", 12902"
"MichaelTinkler"	", 10772350, 10819, 11063, 11401, 11405, 11457, 1193, 1304, 13452, 13467, 13684, 13772, 13854, 13957, 14164, 150304, 15055, 15191, 15924, 1622317, 1628, 16494, 17251, 17726, 18158, 18196, 18601, 18938115, 18951655, 19150105, 19445, 19685, 20598, 2065, 2076, 20781951, 20804, 20919, 21019, 21476233, 21476352, 22086, 22817, 23385833, 23416994, 23455280, 23713433, 2402, 24169, 24280, 24298, 2441, 24497, 2483, 25458, 25478078, 25595604, 26395, 26714, 27485413, 27850, 28134, 28172, 28328, 31171, 32616, 33917, 34311, 34349, 34636, 34798, 34837, 34838, 34839, 34840, 34857, 35013, 35054, 35309, 35940, 35941, 35942, 35943, 35944, 36477, 36520, 36525, 36602, 36631, 36636, 36637, 36717, 36721, 36768, 36915, 36923, 37052, 37054, 37097, 37108, 37325, 37409, 3765, 37803, 37868, 37870, 38015, 38078, 38177, 38193, 38204, 38211, 38244, 38310, 38375, 38379, 38382, 38383, 38395, 38422, 38565, 38704, 38712, 38746, 38748, 38823, 38895, 38935, 38949, 39080, 39081, 39118, 39123, 39138, 39154, 39209, 39284, 39286, 39445, 39594, 39660, 39880, 39947, 39969, 40020, 40035, 40111, 40113, 40167, 40173, 40174, 40178, 40183, 40202, 40395, 40437, 40439, 40440, 40445, 40505, 40539, 40572, 40575, 40576, 40578, 40590, 41903, 41966, 42133, 42142, 42146, 42213, 42233, 42234, 42382, 42390, 42424, 44399, 4552, 49578, 5031, 51320, 52608, 5635, 580, 585629, 60786, 60827, 6573, 6824, 689728, 6920, 75726, 7757, 8145"
"Miki~enwiki"	", 31577, 42189, 42194"
"Mirwin"	", 10927, 11061, 14640471, 17743639, 19773, 20584918, 21967540, 25440292, 2593, 27927, 29730, 29816, 30300, 30355, 31883, 32978, 33235, 33841, 36958, 37097, 37342, 37397201, 37658, 37887, 38247, 38257, 38393, 38452, 38458, 38790, 38822, 38824, 38954, 38966, 38998, 39002, 39317, 39588, 39704, 39862, 40108, 40226, 40375, 42774, 48512, 6762, 9550"
"Mporemba"	", 19178965, 42676"
"NathanBeach"	", 29810"
"Nezumi~enwiki"	", 38982"
"Noises"	", 34558, 34798, 34835, 34837, 34838, 34839, 34840, 34857, 35013, 35940, 35941, 35942, 35943, 35944, 40173, 40174, 40178, 40179, 40181, 40183, 40186, 40202, 40656, 40657, 40658, 51320"
"Oliver~enwiki"	", 40411, 41572, 41894, 41908, 41917, 41935"
"Olof"	", 10947, 16824902, 18879, 21275, 23637, 26263942, 26263954, 2889, 36494, 36540, 36544, 36835, 6960, 8243"
"Omenge"	", 17823, 18838895, 1997, 22936, 23306893, 2735, 28800, 33401, 34622, 39264, 39265, 39266, 39280, 40543, 40582, 41928, 42312, 42536, 42539, 69099"
"OprgaG"	", 18016, 21285632, 37065, 37096"
"Parity"	", 42380, 42394"
"Paul Drye"	", 34954, 35496, 35522, 38334, 38908, 39188, 39657, 39871"
"Pbjoiner"	", 38341, 38349, 38896, 38897, 38900, 38901, 38905"
"Perry Bebbington"	", 20781951, 32186638, 33841, 36525, 36576, 38575, 39005, 39068, 3959, 42418, 42728, 9663"
"Perry@bebbington.org"	", 187703, 36912, 38366, 38512, 38542, 38566"
"Peter Winnberg"	", 15792, 18938758, 18949819, 21504, 21762, 22068, 22113, 25215, 25216, 25266, 27935, 28825, 32399, 3383, 34130, 34492, 36479, 36687, 36912, 37151, 37413, 37746, 37941, 38005, 38805, 40628134, 504213, 53837, 8286923, 8521"
"Pgdudda"	", 42834, 42853, 6097240, 6287, 8645"
"Pinkunicorn"	", 41562"
"Piotr Gasiorowski"	", 14761, 14848, 18678, 23194, 29641, 29646, 3134, 7660, 7816"
"Poiman"	", 40484"
"QIM"	", 19906, 25454239"
"RAD~enwiki"	", 15737, 29816, 30011, 40332"
"RAE"	", 24994086, 24994323, 26589, 30942, 32675, 36602, 36746, 36750, 37021, 37864, 37953, 38323, 38327, 3921"
"RK"	", 20157, 23943, 23948, 24951, 37025"
"Racmeister"	", 13673345, 29412418, 36676, 8707"
"Rcasha"	", 19137"
"Redmist"	", 13692155, 22779, 39100, 41992, 52975, 8221, 983"
"Rgamble"	", 19773418, 19906, 40787, 41515, 41939, 42080, 42405, 42406, 42559, 42560, 42562, 4699587, 62332"
"Rizniz"	", 10553, 23410163, 30282, 33882, 39112, 39289, 39290, 39291, 39696, 39701, 39736, 39748, 39750, 39752, 39807, 4499, 7099, 9838"
"RjLesch"	", 10893, 11152, 11397, 12495, 12995, 13260, 14545, 14790, 15849, 16025, 16825404, 17006, 1794, 18375894, 18874028, 18902, 18951490, 19732690, 21208297, 21211, 21490963, 21719, 21809, 23245410, 23277672, 23408886, 25422, 25778403, 25957, 26811621, 26954, 2698975, 27609, 27698072, 27718, 27949, 29564, 30535, 32578, 32978, 33236, 34069, 34594, 34612, 35502, 36474, 36807, 36847, 37251, 37537, 38253, 3850, 38678, 38776, 38842, 38862, 38910, 39632, 39635, 39732, 39762, 40017, 40108, 40127601, 40319, 40400, 40671, 41953, 42010, 42068, 42083, 42195, 42196, 42200, 42226, 49369, 61702, 6654, 6658, 67879, 7766419, 8122, 8192, 8246, 9933"
"Rjstott"	", 15800, 1938, 36959, 37065, 37096"
